W,M
flee,"v. 달아나다, 도망치다"
poisonous,"a. 유독한, 독이 있는"
loan,"v. 빌려주다, 대부, 대부금"
architecture,"n. 건축, 건축 양식, 건축물"
sufficient,"a. 충분한"
deficient,"a. 부족한, 불충분한"
negotiate,"v. 협상하다, 교섭하다"
shallow,"a. 얕은"
ceiling,"n. 천장"
clinic,"n. 병원, 치료소"
afford,"v. ~할 여유가 있다, ~을 살 돈이 있다"
mercy,"n. 자비, 고마운 일"
calculate,"v. 계산하다"
fire,"n. 1. 불; 불을 붙이다 2. 발사하다 3. 해고하다"
tiny,"a. 작은, 조그마한"
slavery,"n. 노예, 노예제도"
diverse,"a. 다양한, 가지각색의"
starfish,"n. 불가사리"
drill,"n. 1. 송곳; 드릴로 구멍을 뚫다 2. 훈련, 연습; 훈련하다"
alert,"a. 방심 않는, 경계하는; 경보, 경계"
drag,"v. 끌다, 끌고 가다"
urge,"n. 1. 충동, 욕구 2. 촉구하다"
describe,"v. 묘사하다, 서술하다"
disaster,"n. 재앙, 재난"
puzzle,"n. 1. 수수께끼 2. 당황; 당황하게 하다"
deliberately,"ad. 1. 신중히 2. 고의로"
nevertheless,"ad. 그럼에도 불구하고"
match,"n. 짝, 조화; 맞춰주다, 어울리다"
match,"n. 1. 경기 2. 필적하다, 맞먹다"
match,"n. 성냥"
fulfill,"v. 이행하다, 달성하다"
crisis,"n. 위기"
virtually,"ad. 1. 실제로 2. (컴퓨터를 이용한) 가상으로"
cultivate,"v. 경작하다, 재배하다, 기르다"
goods,"n. 물건, 물품"
absolute,"a. 완전한, 절대적인"
echo,"n. 메아리; 울리다"
rust,"n. 녹, 녹슬다"
passage,"n. 1. 구절 2. 통행, 통과, 통로"
cabin,"n. 오두막집, (배나 항공기의) 선실"
breed,"n. (동물의) 품종"
breed,"v. (새끼를) 낳다, 기르다"
halt,"n. 멈춤, 멈추다"
twin,"n. 쌍둥이의 한 사람"
trunk,"n. 1. 여행용 큰 가방"
trunk,"n. 1. (코끼리) 코 2. 나무의 몸통"
volcano,"n. 화산"
pearl,"n. 진주"
deck,"n. 갑판"
cone,"n. 원뿔, (아이스크림의) 콘"
legacy,"n. 유산"
dust,"n. 먼지"
ladder,"n. 사다리"
beneficial,"a. 이로운, 이익을 주는"
oral,"a. 구두의, 입의"
oblige,"v. 의무를 지우다, 억지로 시키다"
pause,"v. 잠시 멈추다, 중단하다"
claim,"v. (당연한 권리로서) 요구하다, 청구하다, 주장하다"
trail,"n. 1. 흔적, 자취 2. 끌다"
exclaim,"v. 소리치다, 외치다"
tension,"n. 1. 긴장, 긴장감 2. 팽팽함, 장력"
logic,"n. 논리, 논리학"
complicate,"v. 복잡하게 만들다"
web,"n. 1. 거미줄 2. (복잡하게 연결된) ~망"
sacrifice,"n. 희생,; 희생시키다, 제물로 바치다"
gallery,"n. 미술관"
isolate,"v. 고립시키다, 격리시키다"
bible,"n. 성서, 성경"
slogan,"n. (기업․단체 등의) 구호, 슬로건"
spare,"a. 1. 예비의, 여분의 2. 아끼다, (시간, 돈 등을) 할애하다"
cope,"v. 맞서다, 대처하다"
gradual,"a. 점진적인, 서서히 일어나는"
testify,"v. 증언하다, 증명하다"
thrust,"v. 밀어 넣다, 밀치다, 찌르다"
boundary,"n. 경계선, 경계"
idiot,"n. 바보, 천치"
advocate,"v. 옹호하다, 지지하다; 옹호자, 지지자"
moderately,"ad. 적당히, 알맞게"
phenomenal,"a. 놀랄만한, 경이적인"
patch,"n. 헝겊조각, 조각, 부분"
sneeze,"v. 재채기하다"
uphold,"v. 유지시키다, 지지하다"
needle,"n. 바늘"
discipline,"n. 1. 규율, 훈련 2. 벌하다"
frank,"a. 솔직한"
peel,"n. (과일 등의) 껍질; (껍질․가죽 등을) 벗기다"
criterion,"n. (평가의) 기준"
salmon,"n. 연어"
disposal,"n. 1. 배치 2. 처리, 처분"
disposition,"n. 1. 기질, 성향 2. 배치"
appropriate,"a. 적당한, 적절한"
despite,"prep. ~임에도 불구하고"
chew,"v. 씹다"
discriminate,"v. 식별하다, 차별하다"
bargain,"n. (정상가 보다) 싼 물건, 특가품; 흥정하다, 협상하다"
convey,"v. 운반하다, 전달하다"
scar,"n. 상처, 흉터"
fine,"a. 1. 좋은, 괜찮은, 훌륭하게 2. 벌금; 벌금을 과하다"
pioneer,"n. 개척자, 선구자, 개척하다"
sphere,"n. 1. 구, 구형, 천체 2. 범위, 영역"
fossil,"n. 화석; 화석의"
derive,"v. 이끌어내다, 얻다, 유래되다"
congestion,"n. (교통)정체, 혼잡"
bear,"n. 1. 곰 2. 참다, 견디다"
bear,"v. 낳다"
bear,"v. (태도, 감정, 특징 등을) 품다, 지니다"
brief,"a. (시간, 글 등이) 짧은, 간결한, 간단한"
mill,"n. 방앗간"
aptitude,"n. 적성, 소질"
steady,"a. 안정된, 꾸준한"
rush,"v. 1. 서두르다 2. 돌진하다, 쇄도하다"
rational,"a. 합리적인, 이성적인"
procedure,"n. 과정, 방법"
illustrate,"v. 설명하다, 삽화를 넣다"
sustain,"v. 떠받치다, 유지하다"
solar,"a. 태양의, 태양열을 이용한"
obvious,"a. 명백한, 분명한"
misty,"a. 안개 낀"
yield,"v. 생산하다, (결과 등을) 만들어내다, 생산량"
yield,"v. 양보하다, 항복하다"
suit,"n. 1. 수트, 신사복 한 벌 2. 어울리다, 적합하다"
awful,"a. 엄청난, 지독한"
struggle,"n. 투쟁, 싸움, 분투하다"
border,"n. 국경, 경계선"
acknowledge,"v. 인정하다"
solid,"a. 고체의, 단단한; 고체"
ambitious,"a. 야망을 품은, 야심찬"
still,"ad. 1. 아직도, 여전히 2. 고요한, 정지한"
penalty,"n. 벌칙, 형벌, 벌금"
congress,"n. 국회, 의회"
function,"n. 기능, (제대로) 기능하다"
meet,"v. 1. 만나다 2. 충족시키다"
shed,"v. 1. (눈물, 빛, 냄새 등을) 흘리다 2. 저장소, 헛간"
lead,"n. 1. 납 2. 이끌다, 인도하다"
barn,"n. 헛간, 광"
