W,M
backbone,"n. 척추, 중추"
down-to-earth,"a. 현실적인, 실제적인"
tailored,"a. (옷이) 잘 맞도록 만든, 맞춤의"
fiber,"n. 섬유, 섬유질"
commonplace,"a. 평범한, 아주 흔한"
workload,"n. 업무량, 작업량"
bygone,"a. 과거의, 지나간; 과거, 과거의 일"
linear,"a. 직선의, 선형의, 1차의"
accountant,"n. 회계사, 경리"
-legged,"a. ~한 다리가 있는, 다리가 ~한"
remainder,"n. 나머지"
warlike,"a. 호전적인, 전쟁의"
check-up,"n. 점검, 검사, 건강진단"
panel,"n. 1. (목재, 유리, 금속으로 된 사각형) 판 2. 패널, (방송) 토론자단"
revival,"n. 소생, 부활, 회복"
trek,"n. 길고 고된 여행, 트레킹, 오래 걷다"
err,"v. 실수하다, 잘못하다"
erroneous,"a. 잘못된, 틀린"
downplay,"v. ~을 경시하다"
questionnaire,"n. 질문서, 설문지"
childlike,"a. (좋은 뜻으로) 어린애다운, 천진난만한"
childish,"a. (부정적인 뜻으로) 어린애 같은, 유치한"
gifted,"a. 타고난 재능이 있는"
eardrum,"n. 고막"
name-brand,"a. 유명 상표의"
requisite,"a. 필요한, 필수의, 필요조건"
recipient,"n. 받는 사람, 수령인"
melancholy,"n. 우울; 우울한, 구슬픈"
zip,"v. 1. (총알․차 등이) 지입! 소리 내며 나아가다 2. 지퍼, 지퍼를 잠그다 3. 우편번호"
county,"n. (행정 구역상) 주, 군"
twofold,"a. 2배의, 2중의, 2배로"
near-sighted,"a. 근시의, 근시안적인"
far-sighted,"a. 원시의, 선견지명이 있는"
categorize,"v. 분류하다"
shorthand,"n. 속기"
hemisphere,"n. 반구, 반구체"
ongoing,"a. 계속 진행 중인"
everlasting,"a. 영원한, 변치 않는"
wilderness,"n. 황야, 황무지"
annex,"n. 1. 부속 건물, 별관 2. 부속 문서, 부록 3. 합병하다"
righteous,"a. 올바른, 정당한"
startup,"n. 신생벤처기업"
dioxide,"n. 이산화물"
amplifier,"n. 증폭기, 앰프"
tackle,"n. 1. (스포츠) 태클 2. (문제와) 맞붙어 싸우다"
mindset,"n. 사고방식"
stricken,"a. 1. ~에 시달리는, ~당한 2. (질병 등에) 걸린"
fingerprint,"n. 지문"
reddish,"a. 불그스름한"
tip,"n. 1. 팁, 봉사료 2. 팁, 조언 3. 끝, 끝부분"
infrastructure,"n. 1. 하부구조 2. 사회 기반 시설(인프라)"
wasteland,"n. 황무지, 불모지"
wetland,"n. 습지, 습지대"
coup,"n. 쿠데타"
pharmaceutical,"a. 제약의, 약학의"
blackout,"n. 등화관제, 정전, (정부, 경찰에 의한) 보도 통제"
mentor,"n. 스승, 멘토"
periodic,"a. 정기적인, 주기적인"
compute,"v. 계산하다, 산출하다"
differentiate,"v. 구별하다, 차별하다"
partition,"n. 분할, 칸막이; 분할하다"
critique,"n. 비평, 평론; 비평하다"
blackmail,"v. 협박하다, 갈취하다; 협박, 갈취"
customize,"v. 사용자의 요구에 맞추다, 주문제작하다"
proponent,"n. 제안자, 지지자"
up-to-date,"a. 최신의"
quest,"n. 탐색, 추구"
spatial,"a. 공간의, 장소의"
artifact,"n. 공예품, 인공 유물"
hybrid,"n. 잡종, 혼성체"
ultraviolet,"a. 자외선의; 자외선"
cosmetic,"n. 1. 화장품 2. 성형의"
befall,"v. (~에게 어떤 일이) 일어나다"
firsthand,"a. 직접의, 직접적으로"
secondhand,"a. 1. 간접적인, 간접적으로 2. 중고의"
vegetation,"n. 식물, 초목"
vegetarian,"n. 채식주의자; 채식주의의"
challenging,"a. 1. 도전해볼 만한 2. 도전적인, 힘든"
communal,"a. 공동의, 집단의"
communism,"n. 공산주의"
mysterious,"a. 이해하기 힘든, 불가사의한"
abnormal,"a. 비정상의, 이상한"
mystical,"a. 신비로운, 신령스러운"
exemplary,"a. 모범적인, 본보기의"
deadlock,"n. 교착상태, 막다른 골목"
abuse,"v. 학대하다, 욕하다, 남용하다; 남용, 학대, 욕설"
petroleum,"n. 석유"
lotus,"n. (식물) 연(蓮)"
lousy,"a. 아주 안 좋은, 형편없는"
company,"n. 1. 회사 2. 일행, 동료 3. 함께 있음"
intuition,"n. 직관, 직감"
inhabit,"v. ~에 살다, 거주하다"
instinct,"n. 본능"
induce,"v. 권유하다, 유도하다"
insulate,"v. 1. (보호) 격리하다 2. 절연하다, 단열하다"
integrate,"v. 통합시키다, 통합되다"
integral,"a. (전체 구성을 위해) 필수적인"
inflict,"v. (괴로움, 상처 등을) 가하다, 괴롭히다"
incorporate,"v. 1. 통합하다 2. 포함하다"
intense,"a. 강렬한, 극심한, 열정적인"
interior,"a. 내부의, 안쪽의"
inflame,"v. 격분시키다, 악화시키다"
index,"n. 1. 찾아보기, 색인 2. 지표, 지수"
investigate,"v. 조사하다, 수사하다"
insane,"a. 제정신이 아닌, 미친"
inject,"v. 주사하다, 주입하다"
infest,"v. 들끓다, 우글거리다"
intrigue,"v. 1. (호기심, 흥미를) 끌다, 흥미 2. 음모를 꾸미다, 음모"
inevitable,"a. 피할 수 없는"
intricate,"a. 얽힌, 복잡한"
inventory,"n. 재고조사, 물품 목록"
intimidate,"v. 겁주다, 위협하다"
timid,"a. 겁 많은, 소심한"
inferior,"a. 열등한, ~보다 못한"
inherent,"a. 내재하는, 타고난"
indulge,"v. (환락․욕망 등에) 빠지다, 탐닉하다, 제멋대로 하게 하다"
interrogate,"v. 심문하다, 질문하다"
inordinate,"a. 과도한, 지나친"
intrinsic,"a. 고유의, 본질적인"
innate,"a. 타고난, 선천적인"
insure,"v. 보장하다, 보험에 들다"
infer,"v. 추론하다, 추정하다"
inborn,"a. 타고난, 선천적인"
numerous,"a. 수많은, 무수한"
innumerable,"a. 무수한, 헤아릴 수 없는"
inalienable,"a. 양도할 수 없는, 빼앗을 수 없는"
monologue,"n. 독백"
monopoly,"n. 독점"
monotonous,"a. 단조로운, 지루한"
monarchy,"n. 군주 정치"
exquisite,"a. 정교한, 섬세한, 아름다운"
expedition,"n. 탐험, 탐험대"
external,"a. 외부의, 밖의"
extinguish,"v. (불 ․빛 등을) 끄다"
extinct,"a. (생명ㆍ생물이) 멸종된"
exterior,"a. 외부의; 외부"
exploit,"v. 1. 개척하다, 개발하다 2. 착취하다, (부당하게) 이용하다"
exotic,"a. 이국적인"
ego,"n. 자아, 자존심"
embargo,"n. (수출, 수입) 금지, 통상금지"
embryo,"n. 태아, 배아, 싹"
empirical,"a. 경험에 의거한, 실증적인"
embody,"v. 1. 구체화하다, 구현하다 2. 포함하다"
embed,"v. 깊숙이 박다, 끼워 넣다"
encyclopedia,"n. 백과사전"
enhance,"v. (질․능력 등을) 높이다, 향상시키다"
entitle,"v. 1. 자격을 주다, 권리를 주다 2. 제목을 붙이다"
enact,"v. 행하다"
enact,"v. (법을) 제정하다"
recur,"v. 1. 재발하다 2. 되돌아가다 3. 반복되다"
resolve,"v. 1. 결심하다 2. 해결하다"
resolution,"n. 해상도"
resolution,"n. 1. 결심, 결의안 2. 해결"
resilient,"a. 탄력 있는, (부상 등에) 회복력 있는"
rebel,"n. 반역자; 반역의; 반역하다"
revolt,"v. 반란을 일으키다, 반란, 폭동"
retrieve,"v. 되찾다, 회복하다"
replica,"n. 복제품, 복제, 복사"
repent,"v. 후회하다, 뉘우치다"
reprove,"v. 꾸짖다"
revere,"v. 존경하다, 숭배하다"
resume,"v. 1. 다시 시작하다 2. 이력서"
recruit,"v. (신입사원 등을) 모집하다"
recite,"v. 암송하다, 낭독하다"
resourceful,"a. 지략이 뛰어난"
refine,"v. 정제하다, 개선하다"
recount,"v. 1. 다시 세다, 재검표하다 2. 이야기하다, 말하다"
refreshments,"n. 다과, 음식물"
regress,"v. 퇴보하다"
rechargeable,"a. 재충전할 수 있는"
reinforce,"v. 강화하다, 보강하다"
renowned,"a. 유명한, 명성 있는"
reform,"v. 개혁하다, 개선하다"
rephrase,"v. (뜻을 더 분명히 하기 위해) 바꾸어 말하다"
rejoice,"v. 기뻐하다"
retail,"n. 소매, 소매하다"
rehabilitate,"v. 재활시키다, 원상태로 회복시키다"
reproduce,"v. 복제하다, 번식하다"
