W,M
gust,"n. 질풍, 돌풍"
hibernate,"v. 동면하다"
siege,"n. 포위공격, 포위"
illumination,"n. 조명, 조도"
entail,"v. 수반하다"
static,"a. 정지상태의, 고정된"
nibble,"v. 야금야금 먹다"
pier,"n. 부두, 방파제"
pious,"a. 신앙심이 깊은, 독실한"
scorn,"n. 경멸; 경멸하다"
bulk,"n. 1. 부피, 크기, 거대함 2. 대량, 대부분"
secure,"a. 1. 안전한 2. 얻다, 획득하다"
curb,"v. 억제하다; 연석(차도와 인도 사이의 경계가 되는 돌)"
console,"v. 위로하다"
ballroom,"n. 연회장, 무도회장"
ambassador,"n. (외국에 파견되는) 대사"
tentative,"a. 임시의, 잠정적인"
aesthetic,"a. 미적인, 심미적인"
integrity,"n. 1. 진실함 2. (나뉘지 않고) 완전한 상태"
airs,"n. 젠체하는 태도"
pension,"n. 연금"
dogged,"a. 완강한, 고집 센"
tribute,"n. 경의, 찬사"
norm,"n. 기준, 표준"
poll,"n. 투표, 여론조사"
custody,"n. 1. 감금 2. 보호(관리), 양육권"
haunt,"v. 1. (유령 등이) 출몰하다 2. (나쁜 생각, 문제 등이) 늘 따라다니다, 괴롭히다"
ascribe,"v. ~의 탓으로 돌리다"
sip,"v. 찔끔찔끔 마시다"
casualty,"n. 사상자, 피해자"
trifle,"n. 1. 약간 2. 하찮은 것, 사소한 일"
vice versa,"ad. 그 반대 또한 마찬가지임"
cluster,"n. 무리, 떼, (과실․꽃 등의) 송이"
frugal,"a. 절약하는, 검소한"
vulgar,"a. 저속한, 상스러운"
caterpillar,"n. 애벌레"
linger,"v. 오래 남다, 오래 머물다"
blunder,"n. 실수"
skid,"v. 미끄러지다, 미끄러짐"
speculate,"v. 추측하다"
fuzzy,"a. 희미한, 불명확한"
assess,"v. (가격, 재산 등을) 평가하다, 가늠하다"
plunge,"v. 1. 빠지게 하다 2. 뛰어들다, 급락하다"
anthropology,"n. 인류학"
stern,"a. 엄격한, 단호한"
confer,"v. 1. 수여하다 2. 협의하다"
agony,"n. 심한 고통, 괴로움"
progress,"n. 진전, 진행, 진전하다, 진행하다"
adornment,"n. 장식품, 장식"
exaggerate,"v. 과장하다"
thump,"n. 탁, 쿵, 탁 치다, 쿵 떨어지다"
cavity,"n. 1. 충치 2. 빈 구멍"
merge,"v. 합병하다, 합치다"
head-on,"a. 정면의, 정면으로 부딪친"
subsequently,"ad. 그 뒤에, 나중에"
perish,"v. 죽다, 썩다, 소멸하다"
vulnerable,"a. 상처받기 쉬운, 피해를 입기 쉬운"
project,"n. 1. 프로젝트, 계획; 계획하다, 예상하다 2. (빛, 영상 등을) 투영하다"
alienate,"v. 소외시키다, (관계가) 멀어지게 하다"
parasite,"n. 기생충, 기생동물"
mourn,"v. 슬퍼하다, 애도하다"
moan,"v. 신음하다, 불평하다; 신음(소리), 불평"
mimic,"v. 흉내를 내다, 모방하다"
ranch,"n. 대목장"
chamber,"n. 방, 회의실"
vanish,"v. 사라지다, 없어지다"
frowning,"a. 얼굴을 찌푸린"
vow,"n. 맹세, 서약; 맹세하다, 서약하다"
fumble,"v. 손으로 더듬다, 더듬으며 찾다"
plight,"n. 곤경, 궁지"
sturdy,"a. 튼튼한, 견고한"
apparatus,"n. 기구, 장치"
offspring,"n. 자식, (동물의) 새끼"
friction,"n. 마찰, (사람 사이의) 마찰"
deploy,"v. 1. (군대, 무기를)배치하다 2. 활용하다"
cripple,"n. 불구자, 장애자; 불구가 되게 하다"
behold,"v. 보다, 바라보다"
shrub,"n. 관목(키가 작고 덤불을 이루는 나무)"
thrift,"n. 검소, 절약"
lad,"n. 소년, 젊은이"
petty,"a. 보잘것없는, 작은, 사소한,"
wane,"v. 작아지다, 약해지다; 작아짐, 약해짐"
allude,"v. 암시하다, 넌지시 언급하다"
pollination,"n. 수분, 꽃가루받이"
basin,"n. 강 유역, 분지, 대야, (요트 등의) 정박지"
strenuous,"a. 1. (일, 운동 등이) 힘든, 격렬한 2. 분투적인"
tranquil,"a. 조용한, 고요한"
epidemic,"n. 유행병, 전염병"
breast,"n. 유방, 가슴"
solemn,"a. 엄숙한, 근엄한"
corps,"n. 군단, 부대"
corpse,"n. 시체, 송장"
diarrhea,"n. 설사"
mob,"n. 군중, 폭도"
heredity,"n. 유전"
sly,"a. 교활한, 음흉한"
deem,"v. ~으로 생각하다, 간주하다"
lore,"n. 구전 지식, 민간전승"
ensue,"v. (일, 결과가) 뒤따르다"
summon,"v. (증인 등을) 소환하다, 호출하다, 소집하다"
ventilation,"n. 환기, 통풍"
measles,"n. 홍역"
transition,"n. 변천, 변화"
stall,"n. 1. (시장의) 가판대 2. 멈추다, 지연시키다"
pragmatic,"a. 실용적인"
verify,"v. 진실을 입증하다, 확인하다"
forge,"v. 1. 위조하다 2. 만들어내다, 구축하다"
censor,"v. 검열하다, 검열하여 삭제하다"
subordinate,"a. 1. 종속된 2. 부하"
heir,"n. 상속인, 후계자"
vendor,"n. 판매인, 행상인"
complimentary,"a. 1. 칭찬하는 2. 무료의"
robust,"a. 튼튼한"
calamity,"n. 재앙, 재난"
fiscal,"a. 재정적인, 회계의"
surmise,"v. 추측하다; 추측"
