W,M
fleet,"n. 1. 함대, 선단 2. 빠른"
nausea,"n. 메스꺼움, 구역질"
lull,"v. 달래다"
consulate,"n. 영사관"
vigilance,"n. 경계, 조심"
amenity,"n. 생활 편의 시설"
marital,"a. 결혼의, 부부의"
lukewarm,"a. 미지근한, 미온적인"
brisk,"a. 활기찬, 호황의"
moody,"a. 1. 기분 변화가 심한 2. 우울한"
genesis,"n. 발생, 기원"
scam,"n. 신용 사기"
beetle,"n. 딱정벌레"
calculus,"n. 미적분학"
handcuff,"n. 수갑; 수갑을 채우다"
fiasco,"n. 대실패"
pundit,"n. 박식한 사람, 전문가"
succinct,"a. 간결한, 간단명료한"
unison,"n. 일치, 조화"
flirt,"v. 추파를 던지다; 바람둥이"
cliche,"n. 상투적인 표현, 진부한 말"
simmer,"v. 부글부글 끓다, (화가 나서) 부글부글 끓다"
checkpoint,"n. 검문소"
prop,"n. 버팀목, 떠받치다"
excise,"n. 소비세, 물품세"
green,"a. 미숙한, 익지 않은"
coat,"v. 1. (도료 등을) 흠뻑 칠하다 2. 외투, 코트"
fuel,"n. 1. 연료, 기름 2. 자극하다"
deliver,"v. 1. 배달하다, 전달하다 2. (연설 등을) 하다 3. 출산하다"
biting,"a. 물어뜯는 듯한, 얼얼한, 신랄한"
guru,"n. 전문가, 권위자"
dividend,"n. 배당금"
spell,"v. 1. 철자를 쓰다 2. 주문, 마력"
rehearse,"v. 1. 리허설을 하다, 예행연습하다,"
militia,"n. 시민군, 민병대"
turnover,"n. 1. (기업의 직원) 이직률 2. 총 매출액"
fugitive,"n. 도망자, 탈주자"
centrifugal,"a. 원심력의"
oust,"v. (일자리, 권자에서) 내쫓다"
downright,"a. 명백한, 완전히"
wrath,"n. 화, 분노"
overt,"a. 명백한, 공공연한"
libel,"n. 명예 훼손"
exodus,"n. 이동, 탈출"
anomaly,"n. 변칙, 이례"
sequel,"n. (책, 영화 등의) 속편"
envisage,"v. 예상하다, 상상하다"
jurisdiction,"n. 관할권, 사법권"
humility,"n. 겸손"
mingle,"v. 섞다, 섞이다"
coma,"n. 혼수상태"
sedentary,"a. 앉아서 일하는, 많이 움직이지 않는"
grotesque,"a. 터무니없는, 기괴한"
havoc,"n. 대파괴, 큰 혼란"
erratic,"a. 변하기 쉬운, 일정하지 않은"
sterile,"a. 불임의, 불모의, 살균한"
unscrupulous,"a. 부도덕한, 파렴치한"
punitive,"a. 징벌의, 처벌을 위한"
treason,"n. 반역, 반역죄"
cramp,"n. 경련, 쥐"
sparse,"a. 드문드문한, 희박한"
apartheid,"n. (흑인에 대한) 인종 차별 정책"
lunatic,"a. 미친; 미치광이"
sloppy,"a. 엉성한, 대충 하는"
proximity,"n. (거리‧시간상으로) 가까움, 근접"
coarse,"a. (피부, 천, 말 등이) 거친"
cram,"v. 1. 억지로 쑤셔 넣다 2. 벼락치기로 공부하다"
vicinity,"n. (~의) 근처, 인근"
staunch,"a. 견고한, 확고한"
onerous,"a. 아주 힘든, 성가신"
glossy,"a. 윤이 나는, 반들반들한"
covert,"a. 은밀한, 비밀의"
spurious,"a. 가짜의, 겉으로만 그럴싸한"
novice,"n. 초보자"
sever,"v. 절단하다, 끊다"
flair,"n. 재주, 재능"
barrage,"n. 연속적 사격[질문]. (질문 등의) 세례"
savvy,"n. 지식, 요령, 박식한, 요령 있는"
auxiliary,"a. 보조의; 보조자"
confiscate,"v. 압수하다"
discount,"v. 1. ~을 고려하지 않다. 무시하다 2. 할인"
demise,"n. 사망, 소멸, 종말"
derail,"v. (기차 등이) 탈선하다, 좌절시키다"
denounce,"v. 맹렬히 비난하다"
devalue,"v. 평가 절하하다, ~의 가치를 떨어뜨리다"
frantic,"a. 정신없는, 광란의"
backlash,"n. 반발"
pluck,"v. 뜯다, 잡아 뽑다"
precondition,"n. 전제조건"
upbringing,"n. 교육, 양육"
refurbish,"v. (방, 건물 등을) 새로 꾸미다, 쇄신하다"
remunerate,"v. 보상하다, 보수를 주다"
reinstate,"v. (원래 상태로) 회복시키다, 복귀시키다"
rebate,"n. (금액 일부의) 환불, 리베이트, 사례금"
reserved,"a. 1. (언동을) 삼가는, 내성적인 2. 예약된, 예비의"
reclaim,"v. 1. 되찾다 2. (반환을) 요구하다"
remit,"v. 1. (돈을) 송금하다 2. 소관"
revert,"v. (이전 상태로) 되돌아가다"
martyr,"n. 순교자, 희생자"
insurgent,"n. 반란자, 폭도"
incite,"v. 선동하다, 조장하다"
inquest,"n. 검토, 조사"
interim,"a. 임시의, 잠정적인"
interconnect,"v. 연결시키다, 관련시키다"
outlaw,"n. 범죄자, 불법화하다"
outcry,"n. 격렬한 항의, 아우성"
outwit,"v. ~보다 지혜가 더 낫다, ~보다 한 수 앞서다"
