W,M
plummet,"v. 수직으로 떨어지다, 급락하다"
shun,"v. 피하다"
curtail,"v. 줄이다, 축소하다"
detriment,"n. 손해, 손상"
smuggle,"v. 밀수하다, 몰래 갖고 들어오다(나가다)"
tangible,"a. 실체가 있는, 분명한"
sanction,"n. 1. 제재 2. 허가"
unleash,"v. 속박을 풀다, (반응, 감정 등을) 촉발시키다"
commend,"v. 칭찬하다, 추천하다"
startle,"v. 깜짝 놀라게 하다"
disparate,"a. 다른, 이질적인"
tariff,"n. 관세"
maritime,"a. 바다의, 해양의"
sober,"a. 1. 술 취하지 않은 2. 진지한"
peasant,"n. 농민, 소작농"
extravagant,"a. 도가 지나친, 낭비하는"
moratorium,"n. 지불유예, 일시적 활동 중단"
fallacious,"a. 잘못된, 틀린"
prolific,"a. 다작의, 다산의, 풍부한"
itinerary,"n. 여정, 여행 일정"
protagonist,"n. 주인공, 주창자"
nocturnal,"a. 밤의, 야행성의"
physiology,"n. 생리학, 생리작용"
underscore,"v. 밑줄을 긋다, 강조하다"
rip-off,"n. 착취, 바가지 (물품)"
enzyme,"n. 효소"
ravel,"v. 엉클다, 복잡하게 만들다"
frivolous,"a. 경솔한, 경박한"
exacerbate,"v. 악화시키다"
template,"n. 형판, 견본"
configure,"v. 구성하다"
affiliate,"v. 제휴하다, 연계하다, 가입하다, 계열회사"
illicit,"a. 불법의"
versatile,"a. 재주 많은, 다용도의"
meticulous,"a. 꼼꼼한, 세심한"
laudatory,"a. 칭찬하는, 감탄하는"
demented,"a. 미친, 발광한"
condone,"v. 용서하다, 용납하다"
deviate,"v. 벗어나다"
lucrative,"a. 수지맞는, 수익성이 좋은"
marsh,"n. 습지, 늪"
stringent,"a. 엄격한"
lavish,"a. 아끼지 않는, 낭비하는, 호화로운"
bolster,"v. 지지하다, 뒷받침하다, 강화하다"
adjacent,"a. 근처의, 인접한"
hurdle,"n. 허들, 장애, 난관, 뛰어넘다"
augment,"v. 증가시키다, 증대시키다"
diverge,"v. 갈라지다, 분기하다"
tenacious,"a. 완강한, 끈질긴"
altruism,"n. 이타주의"
spectrum,"n. (빛의) 스펙트럼, 범위"
penal,"a. 형벌의, 처벌의"
contentious,"a. 논쟁의, 논쟁을 초래하는"
stereotype,"n. 고정관념"
takeover,"n. (기업 등의) 인수"
whereby,"ad. 그에 따라서, 그것에 의하여"
cite,"v. (예를) 들다, 인용하다"
egoism,"n. 이기주의, 이기심"
derivative,"a. 도출해낸; 파생물"
personnel,"n. 1. (회사의) 인사과 2. (조직, 군대의) 인원"
surveillance,"n. 감시"
rally,"n. 집회, 결집하다"
abide,"v. (법률, 합의) 등을 따르다"
faculty,"n. 능력"
detain,"v. 억류하다, 감금하다"
convene,"v. (회의 등을) 소집하다, 모임을 갖다"
compelling,"a. 강렬한, 설득력 있는"
scrape,"v. 긁다, 긁어내다"
shove,"v. (거칠게) 밀다, 밀어 넣다"
albeit,"conj. 비록 ~이기는 하나(= although)"
homosexual,"a. 동성애의"
steadfast,"a. (태도, 목표가) 변함없는"
fetus,"n. 태아"
phobia,"n. 공포증"
evoke,"v. (기억‧감정 등을) 불러일으키다, 떠올려 주다"
carbohydrate,"n. 탄수화물"
orthodox,"a. 정통의, 전통적인"
lateral,"a. 옆의, 측면의"
tenure,"n. 재임 기간, (주택, 토지의) 거주권"
pivot,"n. 중심점, 중심"
repeal,"v. (법률 등을) 폐지하다, 폐지"
windfall,"n. 바람에 떨어진 과실, 뜻밖의 횡재"
incumbent,"a. 1. 의무로서 지워지는 2. 현직의, 재임 중인"
provisional,"a. 임시의, 일시적인"
query,"n. 문의, 의문; 문의하다, 의문을 제기하다"
impeach,"v. 탄핵하다, 고발하다"
contestant,"n. 경쟁자, (대회, 시합 등의) 참가자"
concede,"v. 인정하다, 수긍하다"
markedly,"ad. 현저하게, 두드러지게"
pacific,"a. 평화로운"
