W,M
inaction,"n. 활동하지 않음, 게으름"
uprising,"n. 봉기, 반란, 폭동"
upbeat,"a. 낙관적인, 긍정적인"
counterproductive,"a. 역효과를 낳는"
retard,"v. 지연시키다, 늦추다"
retaliate,"v. 보복하다"
repress,"v. 억누르다, 억제하다"
omnipotent,"a. 전능의"
microbe,"n. 세균, 미생물"
blight,"v. 1. 망치다 2. 병폐, 병충해"
disprove,"v. 틀렸음을 입증하다"
dissimilar,"a. 다른, 같지 않은"
assimilate,"v. 동화되다"
succumb,"v. 굴복하다"
denote,"v. 나타내다, 뜻하다"
outnumber,"v. 수적으로 우세하다"
liaison,"n. 연락"
preposterous,"a. 말도 안 되는, 터무니없는"
mediocre,"a. 과히 좋지는 않은, 평범한"
resonant,"a. 공명하는, (소리가) 깊이 울리는"
accrue,"v. 증가하다, 누적되다, (이자 등이) 쌓이다"
solicit,"v. 간청하다, 요청하다"
relegate,"v. 지위를 떨어뜨리다, 강등시키다"
holocaust,"n. 1. 대참사 2. 홀로코스트(1930~40년대 나치에 의한 유대인 대학살)"
shipment,"n. 선적, 수송"
paranoid,"a. 피해망상적인, 병적으로 두려워하거나 의심이 많은(편집증의)"
niche,"n. 1. 꼭 맞는 자리(일) 2. (시장의) 틈새"
buffer,"n. 완충기, (충격 등으로 부터) 보호하다"
quake,"v. 몸을 떨다, 마구 흔들리다, 지진"
outright,"a. 완전한, 명백한"
paramount,"a. 최고의, 가장 중요한"
bust,"v. 부수다, 파산하다"
audit,"n. 회계감사(하다), (회사 등의) 감사"
subsidiary,"a. 자회사의, 부수적인"
season,"v. 1. 맛을 내다, 양념하다 2. 계절"
synopsis,"n. 개요, 요약"
redress,"v. 바로잡다, 보상, 배상"
conglomerate,"n. 대기업"
breach,"n. 위반, 파괴"
portfolio,"n. 1. 자산구성, 자산 목록 2. (사진, 그림 등의) 작품집"
odds,"n. 가능성, 확률"
advert,"n. 1. 광고(=advertisement) 2. ~쪽으로 주의를 돌리다"
handout,"n. 유인물, 지원금"
needy,"a. 가난한, 궁핍한"
leftover,"n. 남은 음식, 찌꺼기"
landslide,"n. 1. 산사태 2. 압도적 득표(승리)"
duty-free,"a. 면세의"
groundbreaking,"a. 신기원을 이룬, 획기적인"
skyscraper,"n. 고층빌딩"
fruition,"n. 결실, 성과"
watershed,"n. (중요한 변화를 나타내는) 분수령, 분기점"
waterproof,"a. 방수의"
rant,"v. 고함치다, 폭언하다"
outlying,"a. 외딴, 외진"
nominal,"a. 이름뿐인, 명목상의"
theology,"n. 신학"
diagonal,"a. 대각선의"
forensic,"a. 법의학적인, 과학 수사의"
filthy,"a. 아주 더러운"
shrewd,"a. 약삭빠른, 상황 판단이 빠른"
secular,"a. 세속적인, 속세의"
probation,"n. 집행유예, 보호관찰"
allowance,"n. 1. 용돈, 수당 2. 허락, 허용량"
hindsight,"n. (일이 다 벌어진 후에) 사정을 다 알게 됨, 때늦은 깨달음"
maternal,"a. 어머니의, 어머니다운"
rookie,"n. 초심자, 신인 선수"
lame,"a. 1. 다리를 저는 2. 설득력 없는"
smack,"v. 때리다, 강타하다"
short-sighted,"a. (=near-sighted) 근시안적인"
grim,"a. 엄숙한, 암울한, 음산한"
asylum,"n. 망명"
fleet,"n. 1. 함대, 선단 2. 빠른"
nausea,"n. 메스꺼움, 구역질"
lull,"v. 달래다"
consulate,"n. 영사관"
vigilance,"n. 경계, 조심"
amenity,"n. 생활 편의 시설"
marital,"a. 결혼의, 부부의"
lukewarm,"a. 미지근한, 미온적인"
brisk,"a. 활기찬, 호황의"
moody,"a. 1. 기분 변화가 심한 2. 우울한"
genesis,"n. 발생, 기원"
scam,"n. 신용 사기"
beetle,"n. 딱정벌레"
calculus,"n. 미적분학"
handcuff,"n. 수갑; 수갑을 채우다"
fiasco,"n. 대실패"
pundit,"n. 박식한 사람, 전문가"
succinct,"a. 간결한, 간단명료한"
unison,"n. 일치, 조화"
