W,M
embarrass,"v. 당황하게 하다"
owe,"v. …에게 ~을 빚지고 있다, 신세를 지고 있다"
feed,"n. 먹이, 사료; 먹이를 주다, 먹이를 먹다"
chop,"v. (음식 재료를) 썰다, 팍팍 찍다"
stick,"v. 붙이다"
stick,"n. 1. 막대기, 찌르다"
pity,"n. 불쌍히 여김, 애석한 일"
stance,"n. 자세, 태도, 입장"
suicide,"n. 자살; 자살하다"
mushroom,"n. 버섯"
eraser,"n. 지우개"
capacity,"n. 1. 능력 2. 용량, 수용력"
utensil,"n. (가정이나 주방의) 기구, 도구, 가정용품"
crosswalk,"n. 횡단보도"
drift,"v. 떠가다, 이동, 흐름"
jewel,"n. 보석"
tolerate,"v. 참다, 견디다"
feature,"n. 1. 얼굴 생김새, 모양 2. 특징, ~을 특징으로 삼다, 특별히 포함하다"
notice,"n. 주목, 알아챔; 알아차리다"
notice,"n. 통지, 통보"
torrent,"n. 급류, 억수"
defect,"n. 결점, 결함"
lifelong,"a. 일생의, 평생의"
copper,"n. 1. 구리 2. 동전"
folk,"n. 일반 대중, 민속의"
pay,"v. 1. 지불하다, 급료 2. 이득이 되다 3. 대가를 치르다"
slight,"a. 약간의, 경미한"
singular,"a. 특이한, 유일한"
bald,"a. 대머리의, 털이 없는"
bold,"a. 대담한, 용감한"
direction,"n. 방향, 지시"
farewell,"n. 작별, 작별인사"
jury,"n. 배심원"
notion,"n. 개념, 생각"
negative,"a. 1. 부정적인 2. (테스트 결과가) 음성인"
affirmative,"a. 긍정적인, 동의하는, 긍정, 동의"
spot,"n. 1. 장소, 지점 2. 얼룩, 반점 3. 발견하다"
dine,"v. 식사하다"
fabulous,"a. 매우 멋진, 훌륭한"
sting,"v. 쏘다, 찌르다; 침, 가시"
concise,"a. 간결한, 명료한"
contrast,"n. 대조, 대조하다"
shellfish,"n. 조개, 갑각류"
end,"n. 1. 끝, 끝나다, 끝내다 2. 목표, 목적"
landscape,"n. 풍경, 경치"
seascape,"n. 바다경치, 바다풍경"
register,"v. 등록하다, 등록부"
sole,"a. 유일한, 단독의"
charge,"n. 1. 책임, 요금, 청구하다 2. 고소, 비난, 고소하다, 비난하다"
charge,"v. 충전하다, 가득 채우다"
dedicate,"v. 헌신하다, 전념하다"
foam,"n. 거품; 거품이 일다"
term,"n. 1. 기간, 학기 2. 말, 용어 3. (친한) 사이"
yell,"v. 소리치다, 고함치다, 고함, 외침"
currency,"n. 통화, 화폐"
interest,"n. 1. 흥미, ~에 흥미를 갖게 하다 2. 이익, 이자"
issue,"n. 1. 문제, 논점 2. 발행하다, 발표하다"
cell,"n. 1. 세포 2. 작은 방, 감방"
cell,"n. 전지"
cellular,"a. 1. 무선전화의, 휴대전화의 2. 세포의"
dreadful,"a. 무시무시한, 끔찍한"
colleague,"n. (같은 직장이나 직종의) 동료"
navy,"n. 해군"
occur,"v. 1. 발생하다 2. 머리에 떠오르다"
gather,"v. 모으다, 모이다"
dip,"v. 담그다, 적시다"
desperate,"a. 1. 절망적인 2. 필사적인"
poverty,"n. 가난, 빈곤"
prove,"v. 입증하다, ~으로 판명되다"
approval,"n. 허가, 허락"
whisper,"v. 속삭이다; 속삭임"
dish,"n. 1. 접시 2. 요리, 음식"
tan,"v. (피부를) 햇볕에 태우다, 그을리다"
reason,"n. 이성, 사고력"
reason,"n. 1. 이유 2. 추론하다, 추리하다"
reasonable,"a. 1. 합리적인, 타당한 2. (가격 따위가) 비싸지 않은"
crush,"v. 1. 으스러뜨리다, 부수다 2. 홀딱 반함"
anchor,"n. 닻, 닻을 내리다, 정박하다"
accuse,"v. 고발하다, 비난하다"
dimension,"n. 치수, 차원, 넓이, 규모"
deserve,"v. ~할 만하다, ~을 받을 만하다"
tide,"n. 밀물과 썰물, 조수,"
politely,"ad. 공손히"
indicate,"v. 나타내다, 가리키다"
upset,"a. 1. 화가 난, 속상한, 화나게 하다, 혼란, 속상함 2. 뒤엎다, 전복"
sparkle,"n. 불꽃, 번쩍임; 번쩍이다"
bare,"a. 맨-, 벌거벗은"
barely,"v. 1. 거의 ~않다(~없다) 2. 간신히, 겨우"
scarce,"a. 부족한, 드문"
rare,"a. 1. 드문, 진귀한 2. (고기를) 살짝 익힌"
